PM2.5,co2,no2,so2,o3
25,40,40,40,180
26,6286,145,201,157
36,1970,152,336,76
47,6837,150,382,210
40,3979,39,373,84
17,6481,299,238,25
29,6347,243,199,12
17,4941,210,285,19
38,4777,132,113,54
36,617,21,268,56
41,764,57,28,136
3,4998,55,24,26
18,4170,109,8,142
12,5270,267,56,76
10,6239,100,163,82
14,947,152,186,188
10,3885,74,53,238
4,6666,215,279,55
16,5268,52,118,249
15,5788,119,199,161
23,2447,133,88,219
42,6812,13,106,127
28,348,230,273,136
7,4433,145,262,214
45,1012,70,390,215
33,2939,228,133,120
4,1366,131,370,128
14,5504,47,270,199
9,5501,205,317,173
29,5741,267,305,199
20,6905,123,66,64
38,2403,160,357,133
36,1460,160,61,85
13,3942,194,293,180
35,1691,5,178,175
42,605,128,230,207
28,4186,142,287,150
25,5654,186,55,27
7,5307,159,266,96
47,6886,242,167,63
35,6332,73,22,176
10,1499,93,318,24
42,1304,145,294,248
6,436,289,174,63
43,2641,197,315,145
11,5759,262,121,245
48,5512,126,315,96
32,1884,251,130,181
10,3095,131,377,172
13,3103,37,80,131
38,2244,148,33,72
35,4725,42,138,64
26,880,282,166,248
27,257,194,384,161
17,4182,134,179,143
10,5177,164,34,96
28,4391,138,376,174
35,6572,201,342,115
6,213,75,296,72
18,614,287,374,128
14,2824,73,210,79
47,5798,254,296,158
16,3360,15,259,185
37,1709,193,222,149
6,6788,169,321,10
13,5590,12,124,194
17,6793,124,268,244
22,735,59,363,250
8,1192,213,185,68
42,1460,89,157,229
41,4220,173,335,201
48,3313,141,375,54
23,1363,221,338,160
25,3884,216,307,71
8,4840,43,339,217
16,1335,163,133,112
44,2472,95,92,185
21,2019,167,142,13
8,2136,42,48,104
32,5018,37,394,211
18,2361,238,261,207
16,6977,102,9,170
8,2836,202,397,40
13,5699,142,57,17
26,6228,162,209,99
28,922,262,6,225
36,3000,181,213,153
42,1797,185,166,213
5,1281,184,366,167
47,6351,127,216,29
24,1716,284,138,180
30,4913,43,384,46
4,591,129,311,131
24,5661,240,357,124
43,1836,293,127,69
40,5883,183,196,39
4,1267,47,165,35
40,208,110,25,232
10,3376,255,54,220
4,2237,183,80,59
26,6134,86,209,20
33,3743,163,57,145
42,2606,96,322,78
45,265,158,353,245
6,3054,84,109,249
12,5777,8,11,199
6,1719,228,211,173
31,741,247,385,106
45,6052,293,264,167
47,4201,32,29,175
9,6316,253,35,81
20,5476,14,1,174
37,2309,189,79,140
46,1914,113,365,52
32,766,18,89,222
31,5353,296,185,196
28,5229,241,262,211
3,4422,236,242,224
34,753,65,270,229
36,6077,200,366,198
25,3537,22,254,197
38,3564,154,350,161
23,5320,204,215,214
15,567,190,195,130
3,4805,92,173,114
46,1682,280,356,74
33,913,228,360,201
35,4060,6,199,108
43,3251,9,230,34
35,2055,136,132,73
37,5000,16,119,119
31,3182,129,207,201
22,219,174,136,246
8,4390,199,52,198
47,3112,279,43,131
27,3115,290,281,61
15,6287,222,356,151
13,6953,42,157,130
25,2482,133,51,113
11,1850,102,114,27
22,1816,133,57,195
36,1631,125,210,123
11,3621,203,336,192
44,485,190,206,229
43,1974,76,215,19
47,5671,101,293,92
9,3190,285,173,89
18,6306,23,99,66
7,5516,69,16,193
26,6603,142,6,229
35,4445,43,122,178
27,4531,148,50,188
36,4631,147,360,139
38,5974,283,8,249
7,5063,250,239,205
33,366,44,344,223
25,5456,38,386,166
48,974,43,50,205
19,2068,197,203,65
42,4420,106,210,88
45,2532,296,278,224
46,4855,48,395,120
3,2999,174,292,57
26,4511,65,381,242
43,891,7,179,117
27,2285,123,180,188
47,5432,153,277,44
36,457,129,349,237
28,4239,159,249,182
27,6685,183,144,231
34,5931,66,134,196
37,6131,174,221,245
17,5741,255,379,56
7,5357,220,284,40
26,1912,291,82,109
17,275,89,246,73
37,865,158,222,160
46,2001,32,153,237
34,6528,253,83,113
44,4116,265,86,215
44,6110,212,354,54
21,2867,282,385,240
42,5694,153,352,122
47,4523,244,268,16
12,2114,73,377,145
21,4614,49,329,219
11,3415,33,102,154
10,2375,52,40,19
12,3397,69,249,159
25,550,128,209,237
48,900,92,43,58
13,4994,259,394,38
22,1847,45,293,167
47,3680,292,85,144
44,2071,201,114,221
23,2509,261,131,57
5,5841,261,296,139
6,3274,228,207,108
16,4685,182,245,200
24,5185,288,116,63
36,4960,257,294,179
14,4774,40,111,73
28,2337,62,311,141
22,1387,217,70,41
31,661,54,38,226
41,6676,194,142,33
47,6663,25,3,15
16,5954,85,373,227
8,443,275,153,94
46,6523,40,76,189
35,3906,214,79,152
32,1979,229,217,102
41,1252,43,367,76
20,1827,170,41,62
48,1266,151,81,32
6,3893,145,127,19
35,1266,46,250,96
29,4677,168,154,95
21,631,193,366,15
11,525,13,188,238
6,963,193,73,217
3,4122,156,370,173
5,1757,287,9,77
18,3791,263,54,98
43,2428,156,72,207
7,4982,280,246,121
35,6643,190,119,170
24,1804,49,47,126
38,1638,70,31,34
29,5294,233,183,210
48,2799,59,285,244
40,3027,63,81,68
27,2539,229,122,204
12,678,168,244,153
25,1982,220,136,218
34,1909,198,109,32
41,490,200,346,167
35,6825,200,65,192
32,6609,290,222,157
39,3894,234,124,65
15,2483,278,326,64
31,6565,139,1,225
33,1721,213,86,42
31,4128,67,96,47
33,6623,232,379,179
19,905,39,345,128
23,641,240,264,86
9,6054,184,289,201
24,4910,193,242,184
3,5703,74,139,67
5,4587,205,190,57
8,5149,193,78,107
21,1974,139,52,196
21,6813,25,303,103
8,1052,199,383,60
34,6595,111,305,46
46,6513,85,149,54
23,1710,253,110,174
6,3216,263,165,131
33,1030,264,268,36
30,540,164,298,159
16,2841,140,296,16
18,2823,7,359,47
19,3896,16,358,163
39,2326,127,349,195
45,5383,46,325,237
29,2994,74,206,65
31,6131,189,318,67
36,3014,185,178,244
18,1961,269,376,239
26,3163,56,254,121
21,4116,261,191,104
42,2605,261,253,187
20,4428,133,248,131
18,1515,143,354,206
14,2389,75,349,59
45,4963,29,339,103
24,3876,216,225,243
33,976,261,383,73
48,3159,289,258,23
39,3734,290,111,218
34,6098,34,286,189
28,3835,124,386,60
15,5101,216,284,87
5,3061,184,82,224
35,6205,96,281,198
44,6127,210,60,237
11,1436,28,236,35
44,4444,194,256,20
38,6375,282,299,166
4,717,83,81,227
43,2610,69,168,121
26,6655,177,343,60
34,5392,125,394,211
9,1328,186,14,112
41,3805,58,220,83
22,4041,142,125,80
45,235,8,244,32
5,1563,288,130,46
5,6166,139,178,129
18,427,112,28,182
3,5952,205,337,23
26,2119,234,111,47
12,2664,283,102,98
36,6777,194,114,87
37,4911,235,53,174
30,5312,5,67,43
48,1223,274,260,185
16,6567,51,25,176
46,1964,113,82,116
8,2841,31,196,231
21,4106,85,84,227
23,4335,58,208,158
4,1121,30,332,47
6,4096,296,215,101
15,757,11,123,148
25,1787,151,35,87
31,5373,140,142,117
37,2498,59,57,224
10,339,121,229,67
39,4289,83,231,99
26,6886,153,213,89
20,3796,81,141,95
11,1751,93,134,149
8,6535,197,176,60
11,2736,153,330,21
35,3153,55,240,167
9,412,285,14,170
20,5599,261,260,179
39,6478,206,84,205
48,5349,15,154,161
35,3526,221,209,90
43,5181,150,384,213
8,4593,98,154,55
29,6953,208,186,91
33,5904,38,100,83
38,3602,78,247,111
8,1770,293,196,131
4,5564,36,223,104
36,5118,218,269,156
31,990,171,398,228
25,536,69,213,211
28,3635,185,110,115
5,5553,45,20,22
45,6924,143,386,19
28,6965,161,271,86
40,2091,230,200,173
32,5952,89,134,161
11,4811,279,111,202
33,317,10,193,189
40,2480,280,328,185
10,3804,22,269,133
31,1759,33,26,74
19,3760,209,169,115
42,5823,274,262,106
17,2628,206,234,95
47,5594,278,276,220
29,1378,112,32,61
32,2361,246,244,105
13,3124,120,350,78
23,2913,53,52,93
7,3374,102,130,171
12,3174,134,318,70
9,3258,186,47,97
32,778,106,398,82
40,3597,226,103,166
24,6211,218,42,59
17,2465,216,33,204
36,5514,46,103,21
41,5446,174,264,52
38,6985,190,278,75
43,3326,48,236,55
3,1318,123,117,114
4,3419,109,360,242
16,652,71,251,59
27,4706,280,293,24
29,1578,180,288,40
5,1948,157,148,103
36,2602,103,214,193
30,4258,249,86,74
11,2464,55,138,26
8,4455,269,154,133
38,5805,127,343,60
39,5822,260,194,111
14,670,122,39,167
18,4377,254,370,51
48,3364,22,136,217
14,1778,252,76,240
26,3477,173,160,236
41,5596,31,74,175
33,2583,174,328,14
15,4084,23,147,14
5,5167,211,228,175
32,823,190,253,14
22,6962,178,70,51
40,648,193,120,180
6,3677,189,79,95
23,5456,261,42,110
23,4072,25,342,206
47,760,283,345,226
14,2871,213,213,22
19,3967,246,186,212
29,6860,134,94,27
39,4899,240,348,169
25,2976,183,192,106
25,1828,242,369,249
45,2656,62,211,201
12,4405,165,246,93
16,6569,248,90,157
12,727,139,379,73
20,2683,247,34,80
19,4897,93,231,96
22,6800,182,147,168
7,342,189,392,159
45,1145,19,30,233
39,3100,67,132,54
4,501,209,350,46
19,961,159,141,111
7,1551,182,383,250
24,3160,51,39,242
16,5722,192,225,129
10,4035,75,147,107
48,1882,162,219,147
7,1827,103,336,43
30,1026,85,117,14
23,4234,261,13,148
22,3476,134,133,244
31,4670,236,136,141
30,3190,136,31,43
29,831,68,170,250
31,4896,261,56,156
12,6501,77,222,96
7,5560,71,104,52
26,1510,92,327,241
42,6188,241,393,188
4,1554,282,120,32
38,4934,227,120,48
38,505,158,348,90
14,5537,182,67,73
9,2760,7,397,116
19,2677,254,48,55
27,5567,290,118,206
34,5894,286,344,167
7,4142,154,115,128
13,2848,258,82,186
3,4140,240,7,166
23,4118,129,255,70
4,5296,72,31,208
32,692,157,250,153
