Timestamp,deviceId,payload_id,air_temperature,humidity,CO2,pm1,pm10,pm2_5,air_pressure
2024-09-25 19:25:00,2,1,26.30,64.26,455,61.5,119.9,111.1,100994
2024-09-25 19:30:00,2,2,26.29,64.29,452,60.2,119.8,111.0,100995
2024-09-25 19:35:00,2,3,26.30,64.32,442,63.1,125.5,114.3,100998
2024-09-25 19:40:00,2,4,26.29,64.34,442,62.1,123.0,112.9,100998
2024-09-25 19:45:00,2,5,26.29,64.44,437,62.7,124.2,114.4,101000
2024-09-25 19:50:00,2,6,26.28,64.41,436,61.7,122.8,113.1,101002
2024-09-25 19:55:00,2,7,26.28,64.48,433,63.1,126.9,116.0,101008
2024-09-25 20:00:00,2,8,26.28,64.52,454,61.8,123.6,114.8,101014
2024-09-25 20:05:00,2,9,26.28,64.48,448,62.4,127.4,116.7,101016
2024-09-25 20:10:00,2,10,26.27,64.50,426,64.8,127.4,117.8,101017
2024-09-25 20:15:00,2,11,26.27,64.52,442,62.9,126.3,116.4,101016
2024-09-25 20:20:00,2,12,26.27,64.53,441,63.7,128.6,117.4,101019
2024-09-25 20:25:00,2,13,26.26,64.55,450,64.1,129.1,118.7,101026
2024-09-25 20:30:00,2,14,26.26,64.60,444,64.3,127.5,117.0,101031
2024-09-25 20:35:00,2,15,26.26,64.60,440,64.8,130.8,119.5,101031
2024-09-25 20:40:00,2,16,26.26,64.60,429,64.6,130.0,118.6,101033
2024-09-25 20:45:00,2,17,26.25,64.61,436,64.7,129.6,119.2,101036
2024-09-25 20:50:00,2,18,26.25,64.61,447,63.9,129.2,119.0,101039
2024-09-25 20:55:00,2,19,26.25,64.60,445,65.9,130.9,119.4,101041
2024-09-25 21:00:00,2,20,26.25,64.59,426,64.3,128.3,117.7,101041
2024-09-25 21:05:00,2,21,26.25,64.57,442,64.2,128.9,119.0,101039
2024-09-25 21:10:00,2,22,26.25,64.54,444,67.8,133.8,122.8,101038
2024-09-25 21:15:00,2,23,26.26,64.51,458,67.5,134.8,123.4,101038
2024-09-25 21:20:00,2,24,26.26,64.55,438,67.1,134.3,123.2,101038
2024-09-25 21:25:00,2,25,26.25,64.58,445,68.0,135.1,124.5,101037
2024-09-25 21:30:00,2,26,26.24,64.59,446,70.3,136.8,126.7,101034
2024-09-25 21:35:00,2,27,26.24,64.64,436,70.6,139.8,128.0,101032
2024-09-25 21:40:00,2,28,26.24,64.62,436,69.2,138.5,127.5,101030
2024-09-25 21:45:00,2,29,26.23,64.64,445,69.4,138.3,127.5,101029
2024-09-25 21:50:00,2,30,26.22,64.72,444,69.6,139.7,126.6,101031
2024-09-25 21:55:00,2,31,26.22,64.73,442,69.8,139.6,127.5,101033
2024-09-25 22:00:00,2,32,26.21,64.73,450,70.4,140.6,129.0,101033
2024-09-25 22:05:00,2,33,26.21,64.69,445,70.4,139.3,128.8,101033
2024-09-25 22:10:00,2,34,26.22,64.68,449,69.5,139.2,127.7,101030
2024-09-25 22:15:00,2,35,26.23,64.69,436,71.1,142.1,129.5,101031
2024-09-25 22:20:00,2,36,26.23,64.73,453,70.3,141.0,129.2,101033
2024-09-25 22:25:00,2,37,26.22,64.80,431,71.1,142.3,130.1,101032
2024-09-25 22:30:00,2,38,26.22,64.80,442,71.7,145.0,132.4,101032
2024-09-25 22:35:00,2,39,26.22,64.83,433,71.5,143.6,131.7,101031
2024-09-25 22:40:00,2,40,26.21,64.85,441,71.7,143.8,132.0,101027
2024-09-25 22:45:00,2,41,26.21,64.88,442,71.2,145.6,133.2,101027
2024-09-25 22:50:00,2,42,26.20,64.91,444,73.4,146.4,133.9,101027
2024-09-25 22:55:00,2,43,26.20,64.93,453,73.6,148.0,134.4,101025
2024-09-25 23:00:00,2,44,26.20,64.95,443,74.0,147.3,134.0,101018
2024-09-25 23:05:00,2,45,26.20,65.00,448,74.1,149.4,136.2,101017
2024-09-25 23:10:00,2,46,26.19,65.04,441,73.8,147.5,135.6,101012
2024-09-25 23:15:00,2,47,26.19,65.07,434,75.4,149.0,138.1,101007
2024-09-25 23:20:00,2,48,26.19,65.11,441,74.2,150.6,137.8,101004
2024-09-25 23:25:00,2,49,26.19,65.15,453,74.6,151.2,138.8,101004
2024-09-25 23:30:00,2,50,26.18,65.15,453,72.7,150.2,136.4,101001
2024-09-25 23:35:00,2,51,26.19,65.18,460,75.0,152.3,139.6,101001
2024-09-25 23:40:00,2,52,26.19,65.26,442,77.2,154.9,141.8,100998
2024-09-25 23:45:00,2,53,26.19,65.32,454,73.6,154.1,139.9,100996
2024-09-25 23:50:00,2,54,26.18,65.45,448,75.8,156.4,142.5,100995
2024-09-25 23:55:00,2,55,26.17,65.44,466,77.2,158.4,144.7,100990
2024-09-26 00:00:00,2,56,26.17,65.44,448,76.6,156.0,143.3,100984
2024-09-26 00:05:00,2,57,26.17,65.50,449,77.0,157.4,143.8,100979
2024-09-26 00:10:00,2,58,26.16,65.57,470,77.1,160.4,145.3,100972
2024-09-26 00:15:00,2,59,26.16,65.58,445,77.0,159.2,144.7,100970
2024-09-26 00:20:00,2,60,26.15,65.64,457,76.8,158.8,144.8,100969
2024-09-26 00:25:00,2,61,26.15,65.67,461,76.8,159.4,144.5,100968
2024-09-26 00:30:00,2,62,26.15,65.77,451,75.8,161.2,145.5,100966
2024-09-26 00:35:00,2,63,26.15,65.85,459,79.3,165.2,149.8,100963
2024-09-26 00:40:00,2,64,26.15,65.93,452,78.7,165.8,148.7,100960
2024-09-26 00:45:00,2,65,26.15,65.96,444,78.8,166.8,150.8,100958
2024-09-26 00:50:00,2,66,26.14,66.02,457,79.7,166.6,151.0,100955
2024-09-26 00:55:00,2,67,26.15,66.17,468,81.0,168.4,152.0,100954
2024-09-26 01:00:00,2,68,26.15,66.21,451,79.0,169.8,153.2,100953
2024-09-26 01:05:00,2,69,26.15,66.30,453,80.9,171.8,155.1,100952
2024-09-26 01:10:00,2,70,26.15,66.44,454,81.6,173.2,156.4,100948
2024-09-26 01:15:00,2,71,26.14,66.46,471,81.9,173.9,157.3,100947
2024-09-26 01:20:00,2,72,26.14,66.54,455,80.1,173.4,157.5,100943
2024-09-26 01:25:00,2,73,26.13,66.67,465,83.9,178.3,161.6,100940
2024-09-26 01:30:00,2,74,26.12,66.60,473,81.4,173.4,157.2,100938
2024-09-26 01:35:00,2,75,26.12,66.72,464,84.3,179.6,162.4,100939
2024-09-26 01:40:00,2,76,26.12,66.76,465,82.8,178.9,161.5,100934
2024-09-26 01:45:00,2,77,26.12,66.80,455,82.2,178.3,160.4,100931
