Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),HCHO (ppb),TVOC (ppb)
Asia/Jakarta UTC+07:00,5/7/2020 13:13,70,30,21,35,430,39.8,103.7,47,,
Asia/Jakarta UTC+07:00,5/7/2020 13:08,61,24,17,37,430,39.9,103.8,46,,
Asia/Jakarta UTC+07:00,5/7/2020 13:03,65,27,19,32,428,39.9,103.8,46,,
Asia/Jakarta UTC+07:00,5/7/2020 12:58,63,26,18,31,428,39.6,103.3,47,,
Asia/Jakarta UTC+07:00,5/7/2020 12:53,65,27,19,40,427,39.7,103.5,47,,
Asia/Jakarta UTC+07:00,5/7/2020 12:48,74,33,23,45,433,39.4,102.8,47,,
Asia/Jakarta UTC+07:00,5/7/2020 12:43,74,33,23,49,442,39.2,102.5,48,,
Asia/Jakarta UTC+07:00,5/7/2020 12:38,63,26,18,46,429,39.2,102.6,48,,
Asia/Jakarta UTC+07:00,5/7/2020 12:33,68,29,20,33,428,39.1,102.4,47,,
Asia/Jakarta UTC+07:00,5/7/2020 12:28,65,27,19,36,427,38.7,101.7,47,,
Asia/Jakarta UTC+07:00,5/7/2020 12:23,63,26,18,30,425,38.7,101.6,47,,
Asia/Jakarta UTC+07:00,5/7/2020 12:18,55,20,14,48,430,38.9,102.1,47,,
Asia/Jakarta UTC+07:00,5/7/2020 12:13,57,21,15,27,426,38.9,102,45,,
Asia/Jakarta UTC+07:00,5/7/2020 12:08,57,21,15,46,427,38.9,102.1,45,,
Asia/Jakarta UTC+07:00,5/7/2020 12:03,63,26,18,34,427,38.9,102,47,,
Asia/Jakarta UTC+07:00,5/7/2020 11:58,61,24,17,33,425,38.7,101.6,48,,
Asia/Jakarta UTC+07:00,5/7/2020 11:53,65,27,19,32,426,38.5,101.4,49,,
Asia/Jakarta UTC+07:00,5/7/2020 11:48,63,26,18,42,425,38.6,101.5,48,,
Asia/Jakarta UTC+07:00,5/7/2020 11:43,63,26,18,30,428,38.9,102,48,,
Asia/Jakarta UTC+07:00,5/7/2020 11:38,59,23,16,28,430,38.6,101.5,47,,
Asia/Jakarta UTC+07:00,5/7/2020 11:33,55,20,14,17,427,38.6,101.5,47,,
Asia/Jakarta UTC+07:00,5/7/2020 11:28,57,21,15,26,422,38.5,101.2,47,,
Asia/Jakarta UTC+07:00,5/7/2020 11:23,53,19,13,28,422,38.4,101.1,47,,
Asia/Jakarta UTC+07:00,5/7/2020 11:18,50,17,12,26,426,38.3,100.9,48,,
Asia/Jakarta UTC+07:00,5/7/2020 11:13,61,24,17,36,427,37.8,100.1,48,,
Asia/Jakarta UTC+07:00,5/7/2020 11:08,59,23,16,35,427,37.6,99.6,49,,
Asia/Jakarta UTC+07:00,5/7/2020 11:03,50,17,12,30,426,37.6,99.6,48,,
Asia/Jakarta UTC+07:00,5/7/2020 10:58,59,23,16,35,422,37.5,99.4,50,,
Asia/Jakarta UTC+07:00,5/7/2020 10:53,50,17,12,18,421,37.3,99.1,49,,
Asia/Jakarta UTC+07:00,5/7/2020 10:48,45,16,11,13,424,37.1,98.8,50,,
Asia/Jakarta UTC+07:00,5/7/2020 10:43,61,24,17,28,427,36.8,98.3,52,,
Asia/Jakarta UTC+07:00,5/7/2020 10:38,119,60,43,83,424,36.7,98,54,,
Asia/Jakarta UTC+07:00,5/7/2020 10:33,72,31,22,34,426,36.3,97.3,56,,
Asia/Jakarta UTC+07:00,5/7/2020 10:28,74,33,23,42,424,36.1,97,56,,
Asia/Jakarta UTC+07:00,5/7/2020 10:23,74,33,23,50,422,35.8,96.4,57,,
Asia/Jakarta UTC+07:00,5/7/2020 10:18,82,39,27,40,426,35.4,95.7,59,,
Asia/Jakarta UTC+07:00,5/7/2020 10:13,84,40,28,59,423,34.8,94.6,60,,
Asia/Jakarta UTC+07:00,5/7/2020 10:08,84,40,28,55,426,34.6,94.3,63,,
Asia/Jakarta UTC+07:00,5/7/2020 10:03,78,36,25,58,425,34.2,93.6,63,,
Asia/Jakarta UTC+07:00,5/7/2020 9:58,82,39,27,46,426,33.8,92.8,64,,
Asia/Jakarta UTC+07:00,5/7/2020 9:53,95,47,33,56,426,33.4,92.2,65,,
Asia/Jakarta UTC+07:00,5/7/2020 9:48,91,44,31,60,426,33,91.3,67,,
Asia/Jakarta UTC+07:00,5/7/2020 9:43,93,46,32,72,426,32.6,90.6,68,,
Asia/Jakarta UTC+07:00,5/7/2020 9:38,102,51,36,76,427,32,89.6,70,,
Asia/Jakarta UTC+07:00,5/7/2020 9:33,93,46,32,64,429,31.4,88.5,71,,
Asia/Jakarta UTC+07:00,5/7/2020 9:28,105,53,37,73,425,30.9,87.7,72,,
Asia/Jakarta UTC+07:00,5/7/2020 9:23,105,53,37,76,427,30.4,86.8,73,,
Asia/Jakarta UTC+07:00,5/7/2020 9:18,110,55,39,81,425,30.1,86.1,74,,
Asia/Jakarta UTC+07:00,5/7/2020 9:13,102,51,36,60,431,29.8,85.6,75,,
Asia/Jakarta UTC+07:00,5/7/2020 9:08,107,54,38,69,425,29.5,85.2,76,,
Asia/Jakarta UTC+07:00,5/7/2020 9:03,114,58,41,72,425,29.3,84.8,76,,
Asia/Jakarta UTC+07:00,5/7/2020 8:58,132,66,48,110,425,29.2,84.6,78,,
Asia/Jakarta UTC+07:00,5/7/2020 8:53,129,65,47,92,431,29.1,84.3,79,,
Asia/Jakarta UTC+07:00,5/7/2020 8:48,122,61,44,82,427,28.9,84,80,,
Asia/Jakarta UTC+07:00,5/7/2020 8:43,127,64,46,87,427,28.8,83.8,80,,
Asia/Jakarta UTC+07:00,5/7/2020 8:38,122,61,44,75,424,28.7,83.6,80,,
Asia/Jakarta UTC+07:00,5/7/2020 8:33,110,55,39,59,425,28.6,83.4,81,,
Asia/Jakarta UTC+07:00,5/7/2020 8:28,117,59,42,72,424,28.5,83.3,81,,
Asia/Jakarta UTC+07:00,5/7/2020 8:23,149,75,55,90,424,28.4,83.1,82,,
Asia/Jakarta UTC+07:00,5/7/2020 8:18,127,64,46,80,440,28.3,82.9,82,,
Asia/Jakarta UTC+07:00,5/7/2020 8:13,152,77,56.8,101,443,28.1,82.6,83,,
Asia/Jakarta UTC+07:00,5/7/2020 8:08,153,80,58.6,123,457,27.9,82.3,84,,
Asia/Jakarta UTC+07:00,5/7/2020 8:03,155,85,63.1,135,458,27.8,82,84,,
Asia/Jakarta UTC+07:00,5/7/2020 7:58,153,81,59.5,94,443,27.6,81.7,85,,
Asia/Jakarta UTC+07:00,5/7/2020 7:53,154,84,62.2,120,449,27.5,81.6,85,,
Asia/Jakarta UTC+07:00,5/7/2020 7:48,144,73,53,80,448,27.4,81.4,86,,
Asia/Jakarta UTC+07:00,5/7/2020 7:43,139,70,51,107,452,27.3,81.2,86,,
Asia/Jakarta UTC+07:00,5/7/2020 7:38,132,66,48,80,451,27.2,80.9,87,,
Asia/Jakarta UTC+07:00,5/7/2020 7:33,141,71,52,101,448,27,80.7,87,,
Asia/Jakarta UTC+07:00,5/7/2020 7:28,149,75,55,84,456,27,80.5,87,,
Asia/Jakarta UTC+07:00,5/7/2020 7:23,153,81,59.5,106,450,26.9,80.3,88,,
Asia/Jakarta UTC+07:00,5/7/2020 7:18,156,87,64.9,96,449,26.8,80.2,88,,
Asia/Jakarta UTC+07:00,5/7/2020 7:13,151,76,55.9,108,451,26.7,80.1,88,,
Asia/Jakarta UTC+07:00,5/7/2020 7:08,141,71,52,113,454,26.7,80,88,,
Asia/Jakarta UTC+07:00,5/7/2020 7:03,144,73,53,92,457,26.6,79.9,87,,
Asia/Jakarta UTC+07:00,5/7/2020 6:58,137,69,50,98,459,26.6,79.9,87,,
Asia/Jakarta UTC+07:00,5/7/2020 6:53,127,64,46,91,453,26.5,79.7,87,,
Asia/Jakarta UTC+07:00,5/7/2020 6:48,129,65,47,85,450,26.4,79.6,87,,
Asia/Jakarta UTC+07:00,5/7/2020 6:43,129,65,47,92,457,26.4,79.6,87,,
Asia/Jakarta UTC+07:00,5/7/2020 6:38,117,59,42,80,451,26.4,79.4,88,,
Asia/Jakarta UTC+07:00,5/7/2020 6:33,127,64,46,97,456,26.3,79.4,88,,
Asia/Jakarta UTC+07:00,5/7/2020 6:28,119,60,43,78,456,26.3,79.3,88,,
Asia/Jakarta UTC+07:00,5/7/2020 6:22,127,64,46,89,461,26.2,79.2,89,,
Asia/Jakarta UTC+07:00,5/7/2020 6:21,124,63,45,88,460,26.1,79,89,,
Asia/Jakarta UTC+07:00,5/7/2020 6:20,124,63,45,74,458,26.1,79,89,,
Asia/Jakarta UTC+07:00,5/7/2020 6:19,127,64,46,136,461,26.1,79,89,,
Asia/Jakarta UTC+07:00,5/7/2020 6:18,122,61,44,101,467,26.1,79,89,,
Asia/Jakarta UTC+07:00,5/7/2020 6:16,117,59,42,82,465,26.1,79,89,,
Asia/Jakarta UTC+07:00,5/7/2020 6:11,119,60,43,99,457,26,78.9,89,,
Asia/Jakarta UTC+07:00,5/7/2020 6:06,124,63,45,114,458,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 6:01,129,65,47,87,459,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:56,129,65,47,75,458,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:51,132,66,48,114,456,26,78.7,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:46,139,70,51,85,460,25.9,78.7,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:41,146,74,54,117,459,25.9,78.7,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:36,154,84,62.2,139,458,25.9,78.7,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:31,144,73,53,119,463,25.9,78.6,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:26,154,84,62.2,114,464,26,78.7,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:21,154,83,61.3,160,461,26,78.7,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:16,152,77,56.8,127,459,25.9,78.7,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:11,154,82,60.4,115,460,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:06,157,91,67.6,127,462,26,78.7,89,,
Asia/Jakarta UTC+07:00,5/7/2020 5:01,158,93,69.3,157,460,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:56,161,101,75.6,178,457,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:51,160,96,72,161,458,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:46,160,99,73.8,163,457,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:41,159,95,71.1,160,453,26,78.8,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:36,158,92,68.4,153,452,26.1,78.9,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:31,156,89,65.8,137,454,26,78.9,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:26,157,90,66.7,145,454,26.1,78.9,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:21,156,89,65.8,147,457,26.1,79,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:16,156,89,65.8,154,457,26.1,79,89,,
Asia/Jakarta UTC+07:00,5/7/2020 4:11,156,87,64.9,130,454,26.1,79,89,,
